user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
1,SWE,0,73,177,24,,0,209,1000,4
2,SWE,0,0,0,20,,0,7,700,2
3,SWE,0,78,180,25,,0,61,1000,4
4,SWE,1,58,165,19,,0,179,1050,4
5,USA,0,0,0,29,,0,389,900,3
6,AUS,0,73,185,28,,0,31,1050,4
10,SWE,0,63,167,28,,0,674,1050,4
11,SWE,0,73,175,22,STUDENT,0,278,1000,4
12,SWE,0,0,0,20,,0,39,1100,4
13,SWE,0,0,0,20,,0,17,500,2
14,SWE,0,0,0,2020,,0,1,100,1
15,AUS,0,0,179,22,,1,162,1150,4
16,NOR,0,68,177,24,TEACHER,0,171,1050,4
17,SWE,0,78,193,20,,0,34,450,1
18,NLD,0,0,174,23,,1,738,1050,4
19,BEL,0,68,180,24,STUDENT,1,63,750,2
24,NOR,0,0,0,2020,,0,1,400,1
25,USA,0,0,0,2020,,0,16,900,3
26,USA,0,0,0,2020,,0,9,1050,4
27,DEU,0,0,0,2020,,0,8,800,3
28,CAN,0,68,180,32,,1,730,1050,4
29,PRT,0,0,0,2020,,0,2,250,1
30,NOR,0,0,0,2020,,0,21,800,3
32,SWE,0,0,174,24,,0,211,1000,4
34,NZL,0,68,180,27,SYSTEMS MANAGER,0,31,850,3
35,USA,0,0,0,28,,0,306,1050,4
36,SWE,1,0,0,20,,0,100,600,2
38,GBR,0,73,178,27,CLIMBING WALL GUY,0,1179,1250,4
39,NLD,0,78,178,24,,0,10,800,3
40,AUS,0,0,0,2020,,0,23,1050,4
42,USA,0,0,0,22,,0,33,950,3
43,USA,0,68,0,27,,1,89,1150,4
46,USA,0,0,0,2020,,0,44,900,3
47,SWE,0,83,188,20,TEACHER/CLIMBING INSTRUCTOR,0,44,800,3
48,SWE,0,73,178,20,STUDENT,0,21,650,2
49,SWE,0,0,0,30,,0,113,800,3
51,SWE,0,68,181,23,MASTA D´FLEX,1,448,1050,4
52,SWE,0,68,182,24,STUDYING,1,199,1050,4
53,USA,0,0,0,2020,,0,10,900,3
54,SWE,0,73,183,21,STUDENT,0,429,1000,4
56,USA,0,0,0,2020,,0,27,1150,4
57,CAN,0,0,0,2020,,0,2,700,2
59,USA,0,63,0,21,STUDENT,0,166,1000,4
61,USA,0,73,0,24,ACCOUNTANT AND ROUTE SETTER,1,173,900,3
62,USA,0,68,0,28,SALESMAN,1,49,700,2
65,USA,0,68,0,28,MOLECULAR BIOLOGIST,1,400,1050,4
