user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
11,SWE,0,73,175,22,STUDENT,0,278,1000,4
16,NOR,0,68,177,24,TEACHER,0,171,1050,4
19,BEL,0,68,180,24,STUDENT,1,63,750,2
34,NZL,0,68,180,27,SYSTEMS MANAGER,0,31,850,3
38,GBR,0,73,178,27,CLIMBING WALL GUY,0,1179,1250,4
47,SWE,0,83,188,20,TEACHER/CLIMBING INSTRUCTOR,0,44,800,3
48,SWE,0,73,178,20,STUDENT,0,21,650,2
51,SWE,0,68,181,23,MASTA D´FLEX,1,448,1050,4
52,SWE,0,68,182,24,STUDYING,1,199,1050,4
54,SWE,0,73,183,21,STUDENT,0,429,1000,4
69,USA,0,73,183,26,PROFESSOR OF CHEMISTRY,0,116,1000,4
79,DEU,0,83,188,29,TEACHER,0,655,1100,4
80,NOR,0,73,183,25,STUDENT,0,178,950,3
86,SWE,0,83,186,30,LäDERLAPP,0,146,800,3
98,FRA,0,78,183,27,COMPUTERS...,0,115,800,3
111,SWE,0,78,187,23,"LECTURER, VäXJö UNIVERSITY",1,511,750,2
118,USA,0,63,178,23,PROFESSIONAL CLIMBER,1,1248,1350,4
134,USA,0,68,71,38,ENGINEER,0,408,1200,4
139,SWE,0,83,182,34,MANAGEMENT CONSULTANT,1,22,1100,4
148,ZAF,0,78,194,27,MIS,0,125,950,3
151,FRA,0,73,180,30,MATHS TEACHER,1,784,1200,4
155,GBR,0,68,179,26,FULL TIME CLIMBER,1,224,1100,4
158,SWE,0,73,187,25,STUDENT,1,119,1050,4
160,USA,0,83,190,21,STUDENT,1,20,1000,4
161,GBR,0,58,180,21,STUDENT,1,88,850,3
166,COL,0,63,165,22,COMPUTER ENGINEER,1,371,1000,4
167,SWE,0,68,178,21,STUDENT,0,59,800,3
168,GBR,0,58,169,46,CLIMBER,1,99,1350,4
175,SWE,0,78,183,20,STUDENT,0,11,500,2
178,NOR,0,68,170,30,PROGRAMMER,0,430,1150,4
185,SWE,0,100,180,20,MENSCH...,1,23,750,2
190,NOR,0,78,177,23,RESEARCH SCIENTIST,1,420,1100,4
206,SWE,0,83,195,28,MESSIAH,0,278,1000,4
213,DEU,0,83,193,26,STUDENT,1,493,1100,4
215,USA,0,73,174,25,STUDENT/CLIMBER,1,171,1150,4
217,NLD,0,78,189,23,OWNER IMINDZ,0,122,1000,4
228,CZE,0,63,178,32,SALES MANAGER,1,460,1350,4
235,FRA,0,68,184,30,TELECOMMUNICATION CHIEF PROJECT,1,439,1200,4
238,FRA,0,73,180,25,JOURNALIST,1,359,1200,4
242,MYS,0,63,176,23,ROPE ACCESS TECHNICIAN,0,37,750,2
246,NLD,0,78,182,25,ARCHITECT,1,276,1000,4
255,GBR,0,53,165,38,FIREFIGHTER,0,132,1050,4
264,SWE,0,63,186,20,STUDENT,0,22,700,2
276,BEL,0,63,175,24,CLIMBING,0,132,1300,4
279,FRA,0,68,175,35,RESEARCH ENGINEER,1,393,1200,4
281,AUT,0,68,175,20,STUDENT,0,74,850,3
286,NLD,0,78,197,24,STUDENT,0,67,950,3
290,DEU,0,88,187,36,PROFESSIONAL PSYCHONAUT,1,268,1300,4
296,NLD,0,68,186,34,GRAPHIC DESIGNER,0,863,1050,4
303,GBR,0,53,173,27,STUDENT NURSE,0,15,1000,4
310,SWE,0,73,178,43,TEATCHER,1,1229,1150,4
311,CAN,0,63,175,29,UNEMPLOYED (STUDENT),1,119,850,3
312,USA,0,73,180,30,UNKNOWN,0,1025,950,3
322,MYS,0,43,165,22,ROPE ACCESS SPECIALIST,0,50,850,3
351,USA,0,73,4,24,PULLIN ROPE/CHAIN,1,388,1200,4
354,SWE,0,73,179,24,SCAFFOLDER,1,115,950,3
355,GBR,0,58,165,30,ASTRONOMER,0,732,1300,4
356,SWE,0,68,173,20,GåR NATUR..,0,5,950,3
361,PRT,0,73,167,23,GRAPHIC DESIGNER,0,64,1050,4
362,NLD,0,68,170,29,OFFICE JOB,0,233,600,2
366,SWE,0,83,185,24,VAKTMäSTARE,1,506,1000,4
